67660,5,6
204134,5,3
66842,2,4
140245,5,5
94928,5,5
187322,5,7
180800,5,3
523799,5,4
445183,5,2
328136,5,5
280680,5,4
34395,5,7
270542,5,4
308905,5,7
110347,2,5
461048,5,12
223668,4,3
126410,2,4
293755,5,7
285373,2,5
120835,5,3
352940,1,3
383988,5,5
7975,2,7
39985,2,2
47249,1,8
9325,0,10
189785,5,7
103435,5,5
355615,5,5
45603,5,6
137167,5,3
264945,3,3
213528,5,7
248687,5,6
189621,3,2
254951,2,2
335180,5,2
50005,5,8
108197,5,5
278595,5,5
2828,0,8
178128,1,4
34765,1,4
137916,1,3
177386,3,6
8008,0,11
4675,0,9
45915,5,6
230188,5,4
6673,0,10
164333,1,5
6469,0,12
436741,5,2
449905,2,7
364325,3,5
387691,5,3
232298,5,7
161549,5,7
451374,5,3
432065,2,7
219732,5,3
264490,5,4
415870,5,9
5320,0,10
59503,5,5
329792,5,5
297723,5,5
85934,5,6
129967,2,3
342985,5,10
264028,2,7
273102,3,6
14450,1,5
418884,5,7
287493,5,7
310271,2,5
369785,2,6
185915,5,4
245107,5,11
84731,5,8
114567,3,4
176248,5,4
265056,5,20
382875,2,5
164277,5,7
470494,5,6
356961,5,5
217799,5,4
212716,4,7
292887,5,3
442328,5,7
417565,2,2
55903,5,8
277495,2,4
375886,5,3
399610,2,5
435511,5,5
274250,4,3
295759,5,4
100249,5,6
208352,5,5
517565,5,6
281119,1,4
448064,5,4
192894,5,7
34220,5,6
305283,5,4
349411,5,7
378231,2,5
41773,5,6
2793,0,7
4880,0,9
61780,5,5
165720,5,4
214125,5,3
3324,0,10
338069,5,6
307496,5,2
6975,0,8
193350,5,3
303800,5,6
204913,5,5
162507,5,6
5115,0,6
191976,5,4
181666,1,3
317517,5,4
69934,5,4
195559,3,4
1446,0,8
227484,5,7
185680,5,5
7279,3,10
58637,5,5
46252,5,10
427787,2,4
36020,5,3
382878,5,5
431017,1,5
14375,4,8
4023,0,19
459461,5,10
225023,5,2
304302,5,6
8489,5,4
4503,0,6
293752,3,3
471959,5,6
292286,5,7
14434,1,4
260283,5,4
17032,2,5
59357,3,5
62914,5,3
137704,5,4
17689,1,3
2979,0,6
200378,5,2
114734,2,3
258816,5,8
322125,4,9
395157,5,3
224264,2,6
298605,5,5
42117,5,5
257331,5,5
319838,5,4
150561,5,3
167578,5,4
150899,5,7
151176,4,2
311406,5,4
384742,5,7
338319,5,7
423738,5,5
298266,5,5
4816,0,5
24210,5,3
213972,5,5
245515,5,8
263161,5,9
29620,4,4
229737,5,8
420543,5,4
151381,4,4
258826,5,12
319160,3,6
322923,2,11
143119,3,4
422018,5,3
2586,0,12
59929,5,4
184558,5,6
366756,2,7
479686,3,7
20874,5,5
238626,2,3
448585,2,3
277757,5,3
28502,5,4
327461,5,4
324269,5,7
393666,5,3
30392,5,3
232866,5,6
279303,5,4
4469,0,17
110671,2,3
35185,5,6
244578,1,3
227044,5,3
279965,2,5
139382,5,4
4921,0,9
433106,5,5
227783,5,6
219008,5,5
307974,3,4
468848,5,8
252765,2,3
371832,5,6
176337,5,10
6623,0,9
134965,5,6
21033,5,8
243011,5,3
53186,5,4
261358,5,2
173252,5,5
292695,5,5
430729,5,7
54504,5,5
224585,5,5
391878,5,3
261302,5,6
191026,5,3
49227,5,5
121972,4,12
177542,5,10
279983,2,2
249983,5,3
210159,3,12
8000,0,7
347791,5,4
106072,5,8
201810,5,4
387839,5,2
325336,5,3
321643,4,3
8188,0,8
404120,5,7
228880,5,4
373158,5,6
75415,5,5
172713,2,4
242718,5,8
188187,5,4
42987,0,4
377954,5,6
93058,5,3
423593,5,5
5281,0,4
126512,5,5
3771,0,11
208419,5,4
172185,5,4
174309,5,8
130735,5,2
368748,5,9
323124,5,4
416519,4,7
4131,0,4
365067,5,6
54209,1,3
478943,5,6
213192,5,5
447758,5,6
8212,0,8
279762,2,3
267667,5,3
474837,5,6
65298,5,8
369907,5,4
171083,5,3
422150,5,6
216034,5,5
57681,5,5
39707,5,4
299177,3,3
457262,2,2
318045,5,5
333025,3,4
241303,5,4
292469,5,4
338261,5,6
140488,5,3
208181,5,4
267594,1,5
87701,1,5
503315,5,4
331277,3,3
483697,5,6
191389,5,8
83424,5,6
41199,5,5
360561,5,4
456858,4,6
33576,4,5
326959,5,9
239752,5,2
103019,5,11
3294,0,9
259399,5,11
